timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-12-11,368.48,371.6,366.1,371.3,370.621190035101,27708757,0.0000,1.0
2023-12-08,369.2,374.46,368.23,374.23,373.545833414587,20154366,0.0000,1.0
2023-12-07,368.23,371.4527,366.32,370.95,370.271829904446,23118864,0.0000,1.0
2023-12-06,373.54,374.18,368.03,368.8,368.125760530421,21118348,0.0000,1.0
2023-12-05,366.45,373.075,365.621,372.52,371.838959633385,23065035,0.0000,1.0
2023-12-04,369.1,369.52,362.9,369.14,368.465138943058,32063305,0.0000,1.0
2023-12-01,376.76,378.16,371.31,374.51,373.825321519111,33040472,0.0000,1.0
2023-11-30,378.49,380.09,375.47,378.91,378.217277447348,30554415,0.0000,1.0
2023-11-29,383.76,384.3,377.44,378.85,378.157387139236,28963399,0.0000,1.0
2023-11-28,378.35,383.0,378.16,382.7,382.000348576443,20453112,0.0000,1.0
2023-11-27,376.78,380.64,376.2,378.61,377.917825906786,22179228,0.0000,1.0
2023-11-24,377.33,377.97,375.135,377.43,376.739983180577,10176649,0.0000,1.0
2023-11-22,378.0,379.7899,374.965,377.85,377.159215337363,23361184,0.0000,1.0
2023-11-21,375.67,376.2215,371.12,373.07,372.387954124415,28423145,0.0000,1.0
2023-11-20,371.22,378.87,371.0,377.44,376.749964898596,52528964,0.0000,1.0
2023-11-17,373.61,374.37,367.0,369.85,369.173840922387,40325371,0.0000,1.0
2023-11-16,370.96,376.35,370.18,376.17,375.482286710218,27182315,0.0000,1.0
2023-11-15,371.28,373.13,367.11,369.67,368.99416999805,26860095,0.7500,1.0
2023-11-14,371.01,371.95,367.3454,370.27,368.844747381831,27683862,0.0000,1.0
2023-11-13,368.22,368.47,365.9,366.68,365.268566100332,19986506,0.0000,1.0
2023-11-10,361.49,370.1,361.07,369.67,368.247056916957,28065164,0.0000,1.0
2023-11-09,362.3,364.79,360.362,360.69,359.301622959334,24847331,0.0000,1.0
2023-11-08,361.68,363.87,360.55,363.2,361.80196140406,26767828,0.0000,1.0
2023-11-07,359.4,362.46,357.63,360.53,359.142238835368,25833931,0.0000,1.0
2023-11-06,353.45,357.54,353.35,356.53,355.157635736204,23828301,0.0000,1.0
2023-11-03,349.63,354.39,347.33,352.8,351.441993346234,23637673,0.0000,1.0
2023-11-02,347.24,348.83,344.77,348.32,346.979237875171,24348072,0.0000,1.0
2023-11-01,339.79,347.42,339.65,346.07,344.737898631891,28158819,0.0000,1.0
2023-10-31,338.85,339.0,334.69,338.11,336.808538464556,20265282,0.0000,1.0
2023-10-30,333.41,339.45,331.83,337.31,336.011617844723,22828082,0.0000,1.0
2023-10-27,330.425,336.72,328.4007,329.81,328.540487033791,29856522,0.0000,1.0
2023-10-26,340.54,341.63,326.94,327.89,326.627877546192,37828543,0.0000,1.0
2023-10-25,345.02,346.2,337.62,340.67,339.35868444802,55053828,0.0000,1.0
2023-10-24,331.3,331.84,327.6,330.53,329.25771559164,31153571,0.0000,1.0
2023-10-23,325.47,332.725,324.39,329.32,328.052373154143,24374748,0.0000,1.0
2023-10-20,331.72,331.92,325.45,326.67,325.412573600947,25027715,0.0000,1.0
